Unix Timestamp,Date,day of week,Symbol,Open,High,Low,Close,Volume,R
1473393600.0,2016-09-09 04:00:00,4,BTCUSD,623.3,623.3,618.24,620.01,999.8390754,-0.005292336873480992
1473307200.0,2016-09-08 04:00:00,3,BTCUSD,614.65,628.23,614.65,623.3,1460.791064,0.013974943701454806
1473220800.0,2016-09-07 04:00:00,2,BTCUSD,613.45,617.1,609.9,614.65,1453.800038,0.001954238876157968
1473134400.0,2016-09-06 04:00:00,1,BTCUSD,606.31,613.53,605.43,613.45,581.4826098,0.011707354810449712
1473048000.0,2016-09-05 04:00:00,0,BTCUSD,606.09,607.11,601.1,606.31,293.6690171,0.00036291653318142823
1472961600.0,2016-09-04 04:00:00,6,BTCUSD,600.66,611.84,600.59,606.09,400.8561126,0.008999439234113612
1472875200.0,2016-09-03 04:00:00,5,BTCUSD,574.75,607.14,500.0,600.66,1389.004709,0.04409388701615632
1472788800.0,2016-09-02 04:00:00,4,BTCUSD,570.86,577.35,570.84,574.75,882.0924729,0.006791167937680134
1472702400.0,2016-09-01 04:00:00,3,BTCUSD,576.94,576.94,570.73,570.86,966.4570982,-0.010594279260373863
1472616000.0,2016-08-31 04:00:00,2,BTCUSD,574.18,577.35,572.52,576.94,1778.333083,0.004795338954950797
1472529600.0,2016-08-30 04:00:00,1,BTCUSD,573.37,579.36,573.37,574.18,1188.168732,0.0014117034282098663
1472443200.0,2016-08-29 04:00:00,0,BTCUSD,574.99,575.99,571.71,573.37,1080.38388,-0.0028214167589481866
1472356800.0,2016-08-28 04:00:00,6,BTCUSD,570.32,574.99,570.21,574.99,316.0013469,0.008155042532399093
1472270400.0,2016-08-27 04:00:00,5,BTCUSD,576.04,576.04,568.01,570.32,296.7698902,-0.009979495919808689
1472184000.0,2016-08-26 04:00:00,4,BTCUSD,575.77,578.99,575.76,576.04,615.2844704,0.00046882733253827513
1472097600.0,2016-08-25 04:00:00,3,BTCUSD,575.96,575.99,566.0,575.77,1984.401816,-0.0003299384434262398
1472011200.0,2016-08-24 04:00:00,2,BTCUSD,581.98,581.99,574.3,575.96,923.2689374,-0.010397869039734931
1471924800.0,2016-08-23 04:00:00,1,BTCUSD,585.98,585.99,580.66,581.98,905.8762115,-0.0068495764219439524
1471838400.0,2016-08-22 04:00:00,0,BTCUSD,580.76,588.96,580.07,585.98,1443.15885,0.008948068686261725
1471752000.0,2016-08-21 04:00:00,6,BTCUSD,580.99,581.75,579.21,580.76,158.5266109,-0.00039595438434253486
